,EEG
454,-786.432
455,-819.2
456,-786.432
457,-819.2
458,-786.432
459,-835.584
460,-835.584
461,-819.2
462,-802.816
463,-786.432
464,-770.048
465,-835.584
466,-851.968
467,-851.968
468,-835.584
469,-786.432
470,-819.2
471,-819.2
472,-819.2
473,-835.584
474,-835.584
475,-868.352
476,-868.352
477,-835.584
478,-851.968
479,-819.2
480,-851.968
481,-851.968
482,-868.352
483,-884.736
484,-868.352
485,-802.816
486,-819.2
487,-835.584
488,-868.352
489,-901.12
490,-901.12
491,-868.352
492,-819.2
493,-802.816
494,-835.584
495,-835.584
496,-851.968
497,-819.2
498,-851.968
499,-835.584
500,-851.968
501,-851.968
502,-851.968
503,-835.584
504,-851.968
505,-868.352
506,-868.352
507,-835.584
508,-851.968
509,-851.968
510,-901.12
511,-851.968
512,-802.816
513,-819.2
514,-835.584
515,-819.2
516,-917.504
517,-999.424
518,-1064.96
519,-983.04
520,-802.816
521,-737.28
522,-802.816
523,-851.968
524,-851.968
525,-802.816
526,-819.2
527,-851.968
528,-851.968
529,-835.584
530,-819.2
531,-851.968
532,-851.968
533,-851.968
534,-802.816
535,-819.2
536,-835.584
537,-851.968
538,-851.968
539,-851.968
540,-786.432
541,-819.2
542,-819.2
543,-851.968
544,-835.584
545,-835.584
546,-851.968
547,-851.968
548,-901.12
549,-901.12
550,-884.736
551,-884.736
552,-835.584
553,-851.968
554,-868.352
555,-868.352
556,-868.352
557,-835.584
558,-851.968
559,-868.352
560,-868.352
561,-868.352
562,-851.968
563,-868.352
564,-901.12
565,-901.12
566,-933.888
567,-901.12
568,-901.12
569,-901.12
570,-884.736
571,-884.736
572,-901.12
573,-884.736
574,-917.504
575,-868.352
576,-884.736
577,-851.968
578,-901.12
579,-884.736
580,-884.736
581,-901.12
582,-901.12
583,-868.352
584,-917.504
585,-851.968
586,-901.12
587,-868.352
588,-851.968
589,-851.968
590,-851.968
591,-835.584
592,-851.968
593,-966.656
594,-1064.96
595,-1081.344
596,-966.656
597,-819.2
598,-802.816
599,-802.816
600,-851.968
601,-835.584
602,-819.2
603,-819.2
604,-835.584
605,-835.584
606,-835.584
607,-851.968
608,-835.584
609,-819.2
610,-819.2
611,-819.2
612,-819.2
613,-819.2
614,-819.2
615,-835.584
616,-819.2
617,-835.584
618,-819.2
619,-835.584
620,-835.584
621,-835.584
622,-835.584
623,-835.584
624,-835.584
625,-835.584
626,-835.584
627,-851.968
628,-868.352
629,-851.968
630,-868.352
631,-835.584
632,-884.736
633,-868.352
634,-868.352
635,-819.2
636,-835.584
637,-835.584
638,-835.584
639,-851.968
640,-819.2
641,-835.584
642,-835.584
643,-835.584
644,-868.352
645,-835.584
646,-835.584
647,-819.2
648,-819.2
649,-819.2
650,-868.352
651,-835.584
652,-851.968
653,-835.584
654,-851.968
655,-819.2
656,-851.968
657,-868.352
658,-851.968
659,-835.584
660,-835.584
661,-802.816
662,-819.2
663,-802.816
664,-819.2
665,-835.584
666,-802.816
667,-802.816
668,-851.968
669,-983.04
670,-1048.576
671,-950.272
672,-802.816
673,-737.28
674,-753.664
675,-786.432
676,-786.432
677,-802.816
678,-770.048
679,-786.432
680,-802.816
681,-786.432
682,-802.816
683,-835.584
684,-802.816
685,-835.584
686,-786.432
687,-786.432
688,-802.816
689,-786.432
690,-802.816
691,-786.432
692,-802.816
693,-819.2
694,-786.432
695,-802.816
696,-786.432
697,-802.816
698,-819.2
699,-786.432
700,-802.816
701,-819.2
702,-819.2
703,-851.968
704,-868.352
705,-868.352
706,-868.352
707,-851.968
708,-819.2
709,-835.584
710,-835.584
711,-851.968
712,-851.968
713,-835.584
714,-819.2
715,-802.816
716,-819.2
717,-802.816
718,-819.2
719,-802.816
720,-802.816
721,-851.968
722,-835.584
723,-835.584
724,-819.2
725,-851.968
726,-868.352
727,-851.968
728,-835.584
729,-835.584
730,-819.2
731,-851.968
732,-851.968
733,-868.352
734,-835.584
735,-819.2
736,-802.816
737,-819.2
738,-835.584
739,-868.352
740,-835.584
741,-819.2
742,-802.816
743,-786.432
744,-802.816
745,-933.888
746,-1015.808
747,-1015.808
748,-868.352
749,-770.048
750,-720.896
751,-753.664
752,-802.816
753,-819.2
754,-835.584
755,-835.584
756,-786.432
757,-802.816
758,-786.432
759,-835.584
760,-819.2
761,-802.816
762,-851.968
763,-802.816
764,-835.584
765,-802.816
766,-819.2
767,-802.816
768,-819.2
769,-819.2
770,-802.816
771,-802.816
772,-835.584
773,-851.968
774,-835.584
775,-835.584
776,-802.816
777,-851.968
778,-868.352
779,-901.12
780,-868.352
781,-868.352
782,-835.584
783,-851.968
784,-851.968
785,-851.968
786,-868.352
787,-851.968
788,-851.968
789,-851.968
790,-851.968
791,-835.584
792,-835.584
793,-835.584
794,-835.584
795,-835.584
796,-868.352
797,-851.968
798,-851.968
799,-835.584
800,-835.584
801,-835.584
802,-851.968
803,-851.968
804,-868.352
805,-851.968
806,-868.352
807,-851.968
808,-835.584
809,-835.584
810,-868.352
811,-851.968
812,-851.968
813,-819.2
814,-868.352
815,-868.352
816,-868.352
817,-835.584
818,-835.584
819,-868.352
820,-884.736
821,-835.584
822,-835.584
823,-786.432
824,-819.2
825,-819.2
826,-786.432
827,-786.432
828,-901.12
829,-1032.192
830,-1064.96
831,-966.656
832,-786.432
833,-753.664
834,-802.816
835,-819.2
836,-802.816
837,-835.584
838,-819.2
839,-835.584
840,-819.2
841,-819.2
842,-835.584
843,-835.584
844,-851.968
845,-835.584
846,-851.968
847,-835.584
848,-835.584
849,-835.584
850,-851.968
851,-819.2
852,-802.816
853,-819.2
854,-851.968
855,-851.968
856,-835.584
857,-802.816
858,-802.816
859,-819.2
860,-851.968
861,-851.968
862,-868.352
863,-868.352
864,-851.968
865,-835.584
866,-851.968
867,-851.968
868,-884.736
869,-851.968
870,-851.968
871,-851.968
872,-819.2
873,-851.968
874,-835.584
875,-868.352
876,-835.584
877,-868.352
878,-851.968
879,-851.968
880,-819.2
881,-819.2
882,-802.816
883,-835.584
884,-819.2
885,-819.2
886,-819.2
887,-835.584
888,-835.584
889,-835.584
890,-835.584
891,-851.968
892,-851.968
893,-835.584
894,-835.584
895,-835.584
896,-835.584
897,-835.584
898,-851.968
899,-819.2
900,-835.584
901,-851.968
902,-868.352
903,-835.584
904,-835.584
905,-851.968
906,-868.352
907,-835.584
908,-819.2
909,-770.048
910,-835.584
911,-851.968
912,-868.352
913,-835.584
914,-819.2
915,-835.584
916,-851.968
917,-835.584
918,-884.736
919,-819.2
920,-835.584
921,-819.2
922,-835.584
923,-819.2
924,-835.584
925,-835.584
926,-835.584
927,-851.968
928,-868.352
929,-851.968
930,-851.968
931,-851.968
932,-835.584
933,-851.968
934,-868.352
935,-868.352
936,-851.968
937,-819.2
938,-868.352
939,-1032.192
940,-1114.112
941,-1097.728
942,-917.504
943,-802.816
944,-786.432
945,-819.2
946,-835.584
947,-851.968
948,-819.2
949,-819.2
950,-851.968
951,-868.352
952,-901.12
953,-884.736
954,-851.968
955,-868.352
956,-868.352
957,-868.352
958,-851.968
959,-835.584
960,-819.2
961,-851.968
962,-835.584
963,-835.584
964,-835.584
965,-819.2
966,-802.816
967,-802.816
968,-802.816
969,-851.968
970,-851.968
971,-851.968
972,-835.584
973,-835.584
